	Mean	Mean	Mean	Std Dev	Std Dev	Std Dev	Mean	Mean	Mean	Std Dev	Std Dev	Std Dev	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Will Okazaki\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d
	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-0.80597	0.17099	1.23347	0.04028	0.02411	0.03680	-0.34869	0.77272	1.64683	0.01999	0.06880	0.08484	-0.73604	0.13938	1.29436	-0.32076	0.87721	1.49993	-0.82525	0.20412	1.24216	-0.36032	0.80577	1.66757	-0.80895	0.17474	1.21188	-0.35431	0.72341	1.71325	-0.83623	0.15835	1.20679	-0.37126	0.71125	1.69384	-0.82338	0.17838	1.21214	-0.33681	0.74597	1.65957
2	-0.80698	0.17111	1.23371	0.04052	0.02424	0.03700	-0.34901	0.77231	1.64678	0.01975	0.06932	0.08527	-0.73664	0.13906	1.29487	-0.32182	0.87744	1.49938	-0.82635	0.20428	1.24257	-0.36009	0.80565	1.66692	-0.80991	0.17497	1.21190	-0.35475	0.72280	1.71373	-0.83741	0.15874	1.20659	-0.37168	0.70978	1.69502	-0.82462	0.17851	1.21261	-0.33669	0.74589	1.65884
3	-0.80800	0.17123	1.23396	0.04075	0.02437	0.03720	-0.34931	0.77192	1.64670	0.01955	0.06982	0.08570	-0.73726	0.13875	1.29538	-0.32285	0.87765	1.49884	-0.82745	0.20445	1.24299	-0.35984	0.80554	1.66624	-0.81086	0.17521	1.21193	-0.35518	0.72221	1.71418	-0.83855	0.15912	1.20640	-0.37213	0.70837	1.69617	-0.82585	0.17863	1.21308	-0.33656	0.74582	1.65807
4	-0.80900	0.17135	1.23421	0.04096	0.02450	0.03739	-0.34960	0.77153	1.64660	0.01937	0.07030	0.08611	-0.73791	0.13846	1.29589	-0.32384	0.87784	1.49831	-0.82855	0.20462	1.24341	-0.35956	0.80543	1.66553	-0.81181	0.17544	1.21197	-0.35560	0.72165	1.71461	-0.83967	0.15947	1.20622	-0.37259	0.70700	1.69729	-0.82707	0.17876	1.21358	-0.33642	0.74576	1.65727
5	-0.81001	0.17147	1.23447	0.04116	0.02464	0.03758	-0.34988	0.77117	1.64648	0.01922	0.07075	0.08651	-0.73857	0.13817	1.29638	-0.32480	0.87800	1.49779	-0.82966	0.20480	1.24384	-0.35926	0.80533	1.66479	-0.81274	0.17567	1.21201	-0.35601	0.72110	1.71502	-0.84077	0.15981	1.20604	-0.37306	0.70567	1.69837	-0.82829	0.17888	1.21408	-0.33625	0.74573	1.65644
6	-0.81101	0.17158	1.23474	0.04135	0.02477	0.03776	-0.35014	0.77081	1.64634	0.01909	0.07118	0.08689	-0.73925	0.13790	1.29687	-0.32573	0.87813	1.49729	-0.83076	0.20498	1.24428	-0.35893	0.80524	1.66401	-0.81366	0.17590	1.21206	-0.35641	0.72058	1.71539	-0.84185	0.16013	1.20588	-0.37354	0.70439	1.69942	-0.82951	0.17899	1.21460	-0.33608	0.74572	1.65557
