	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 1\Swing Markerless 1.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 2\Swing Markerless 2.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 3\Swing Markerless 3.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 4\Swing Markerless 4.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d	C:\Users\Point Loma\Documents\KIN 6088\Lannister\Lab5\Data\Will Okazaki\Baseball Hitting Markerless_2\TheiaFormatData\Swing Markerless 5\Swing Markerless 5.c3d
	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-0.62426	0.24042	1.22983	-0.40863	0.90906	1.75325	-0.61333	0.18545	1.34141	-0.21938	0.95977	1.45438	-0.61415	0.14696	1.30525	-0.23691	0.91529	1.49204	-0.59157	0.16210	1.14737	-0.42571	0.72886	1.79452	-0.62401	0.15447	1.30355	-0.22208	0.92091	1.43970
2	-0.62298	0.23953	1.23178	-0.40764	0.91196	1.75043	-0.61365	0.18539	1.34083	-0.21865	0.95921	1.45354	-0.61427	0.14672	1.30476	-0.23721	0.91516	1.49145	-0.59116	0.16181	1.14843	-0.42486	0.73092	1.79340	-0.62457	0.15410	1.30339	-0.22222	0.92031	1.43963
3	-0.62175	0.23867	1.23379	-0.40653	0.91494	1.74747	-0.61404	0.18535	1.34026	-0.21790	0.95864	1.45266	-0.61448	0.14649	1.30423	-0.23747	0.91497	1.49083	-0.59077	0.16151	1.14954	-0.42392	0.73305	1.79221	-0.62517	0.15370	1.30316	-0.22239	0.91964	1.43964
4	-0.62060	0.23787	1.23583	-0.40527	0.91796	1.74439	-0.61447	0.18533	1.33971	-0.21715	0.95806	1.45173	-0.61478	0.14625	1.30367	-0.23767	0.91472	1.49016	-0.59043	0.16120	1.15070	-0.42288	0.73525	1.79094	-0.62583	0.15328	1.30283	-0.22260	0.91891	1.43972
5	-0.61953	0.23714	1.23790	-0.40385	0.92102	1.74121	-0.61496	0.18532	1.33918	-0.21642	0.95749	1.45077	-0.61518	0.14602	1.30308	-0.23782	0.91439	1.48947	-0.59014	0.16087	1.15192	-0.42173	0.73753	1.78959	-0.62653	0.15283	1.30241	-0.22285	0.91812	1.43991
6	-0.61856	0.23649	1.23998	-0.40227	0.92409	1.73793	-0.61549	0.18533	1.33868	-0.21571	0.95692	1.44980	-0.61569	0.14580	1.30246	-0.23791	0.91398	1.48874	-0.58990	0.16052	1.15319	-0.42048	0.73987	1.78816	-0.62729	0.15236	1.30189	-0.22313	0.91724	1.44021
7	-0.61770	0.23594	1.24207	-0.40053	0.92718	1.73457	-0.61606	0.18535	1.33821	-0.21503	0.95637	1.44881	-0.61631	0.14558	1.30182	-0.23793	0.91350	1.48799	-0.58972	0.16017	1.15453	-0.41911	0.74226	1.78665	-0.62811	0.15187	1.30126	-0.22345	0.91630	1.44063
8	-0.61694	0.23547	1.24416	-0.39864	0.93026	1.73114	-0.61667	0.18539	1.33779	-0.21438	0.95583	1.44783	-0.61703	0.14537	1.30114	-0.23788	0.91293	1.48721	-0.58961	0.15979	1.15591	-0.41763	0.74470	1.78506	-0.62898	0.15136	1.30052	-0.22381	0.91528	1.44118
9	-0.61630	0.23509	1.24625	-0.39661	0.93332	1.72765	-0.61730	0.18543	1.33740	-0.21378	0.95531	1.44687	-0.61787	0.14517	1.30045	-0.23777	0.91229	1.48642	-0.58956	0.15942	1.15734	-0.41604	0.74719	1.78339	-0.62991	0.15084	1.29967	-0.22420	0.91418	1.44188
10	-0.61575	0.23480	1.24834	-0.39445	0.93636	1.72410	-0.61797	0.18549	1.33706	-0.21322	0.95481	1.44593	-0.61881	0.14498	1.29973	-0.23760	0.91157	1.48562	-0.58958	0.15903	1.15882	-0.41434	0.74970	1.78165	-0.63089	0.15031	1.29869	-0.22461	0.91301	1.44274
11	-0.61529	0.23458	1.25041	-0.39217	0.93938	1.72051	-0.61865	0.18555	1.33674	-0.21270	0.95432	1.44503	-0.61984	0.14480	1.29900	-0.23737	0.91077	1.48481	-0.58967	0.15864	1.16034	-0.41253	0.75224	1.77984	-0.63194	0.14979	1.29760	-0.22504	0.91176	1.44376
12	-0.61492	0.23442	1.25248	-0.38978	0.94236	1.71687	-0.61937	0.18563	1.33646	-0.21222	0.95385	1.44416	-0.62098	0.14463	1.29824	-0.23710	0.90990	1.48401	-0.58983	0.15825	1.16190	-0.41061	0.75480	1.77796	-0.63305	0.14928	1.29639	-0.22548	0.91043	1.44494
